train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,model_name
0.15296069393351747,0.13935980394253517,0.8893723309966964,0.8984375,0.5002539553224056,0.5009377077257212,LSTM_toxic_classifier
0.14024910145823588,0.12313715462264092,0.8972864573541393,0.8984375,0.5038283378732865,0.5031135498906059,LSTM_toxic_classifier
0.12264287965368285,0.12063725502479243,0.8986114468347971,0.8986463903743316,0.5053616365463535,0.5048076336877824,LSTM_toxic_classifier
0.12100337692907988,0.11969131021635895,0.8986920205194316,0.8985210561497327,0.505854481123733,0.5037131018400228,LSTM_toxic_classifier
0.11919254461492004,0.11919938604207958,0.8989068836784573,0.8985837232620321,0.5063047998482803,0.5037736214723717,LSTM_toxic_classifier
0.11749697604887302,0.11766049876575045,0.8987188784143099,0.8986881684491979,0.5067169993404764,0.5047373093034926,LSTM_toxic_classifier
0.11613499131988686,0.11903320127266415,0.8990680310477265,0.8986672794117647,0.5071839271630779,0.5050048939734559,LSTM_toxic_classifier
0.13102761822491507,0.13987166658890518,0.8989337415733355,0.8987299465240641,0.5080675088967074,0.5064612465928696,LSTM_toxic_classifier
0.11166820260012873,0.1063563906641199,0.8957555573460819,0.8981868315508021,0.5113288067470497,0.5051923425185921,LSTM_toxic_classifier
0.0996215844684788,0.09751072896826256,0.8981369573586155,0.898019719251337,0.5091554849540203,0.5058919185979228,LSTM_toxic_classifier
0.09006148162318374,0.09349580252833196,0.8878593362518913,0.8976019385026738,0.5205838536395456,0.5058696773116046,LSTM_toxic_classifier
0.0800872149762714,0.08245423560307479,0.8799452098944485,0.8665608288770054,0.5374450768253517,0.5656875581990147,LSTM_toxic_classifier
0.07180492613326486,0.07276114067592285,0.876919220404838,0.9073362299465241,0.570842526902997,0.6181614086834986,LSTM_toxic_classifier
0.05544969819791371,0.06074355456577788,0.9110018890052731,0.9141460561497327,0.6444315927083059,0.6590633076998831,LSTM_toxic_classifier
0.046778232615336125,0.06341485580987427,0.9163107995595305,0.9109082553475936,0.6718840258365028,0.6678583135709526,LSTM_toxic_classifier
0.04222987520258526,0.06376390841363959,0.9212436995854931,0.9098429144385026,0.6873898303555984,0.6742689411809577,LSTM_toxic_classifier
0.039812843263555886,0.0659548672641099,0.9238310101254263,0.9042028743315508,0.6929689369551927,0.6764075821747819,LSTM_toxic_classifier
0.03629344929464452,0.06866386927201205,0.9308588259518885,0.9092789104278075,0.7012225431415543,0.6713457864683187,LSTM_toxic_classifier
